"gemeenten";"nieuwkomers per 1.000 inwoners 18+ jaar|2014";"nieuwkomers per 1.000 inwoners 18+ jaar|2015";"nieuwkomers per 1.000 inwoners 18+ jaar|2016";"nieuwkomers per 1.000 inwoners 18+ jaar|2017";"nieuwkomers per 1.000 inwoners 18+ jaar|2018";"nieuwkomers per 1.000 inwoners 18+ jaar|2019";"nieuwkomers per 1.000 inwoners 18+ jaar|2020";"nieuwkomers per 1.000 inwoners 18+ jaar|2021";"nieuwkomers per 1.000 inwoners 18+ jaar|2022";"nieuwkomers per 1.000 inwoners 18+ jaar|2023";"nieuwkomers per 1.000 inwoners 18+ jaar|2024"
"Menen";7,2;8,6;11,2;6,5;10,0;9,9;8,8;9,1;11,1;10,6;10,0
"Merchtem";4,7;2,3;6,2;5,2;6,5;5,7;6,4;6,1;5,5;6,5;6,0
"Merelbeke-Melle";4,4;3,6;4,6;4,4;4,7;4,6;4,4;4,5;5,7;6,8;6,0
"Merksplas";6,0;8,6;7,8;8,6;9,0;9,5;7,9;6,7;10,5;11,0;9,5
"Mesen";11,3;1,3;8,7;7,5;0,0;5,0;7,5;3,8;10,0;5,0;8,7
"Middelkerke";1,9;2,8;2,9;3,5;2,1;2,5;2,3;3,0;4,1;4,9;3,1
"Mol";7,3;7,7;8,8;7,8;8,9;9,0;6,0;6,4;10,2;9,9;8,9
"Moorslede";2,7;3,2;3,2;2,3;4,9;4,8;2,7;1,5;2,7;4,9;4,8
"Mortsel";4,8;5,4;7,8;5,9;6,1;5,5;6,2;4,4;6,7;7,7;7,3
"Nazareth-De Pinte";2,3;2,8;3,1;4,8;4,1;3,5;4,0;3,4;4,7;5,0;4,0
"Niel";1,6;3,4;3,4;2,8;4,7;2,8;2,0;1,7;2,7;3,0;3,9
"Nieuwerkerken";1,8;3,6;2,5;4,8;2,1;3,3;3,0;1,9;1,7;7,6;11,0
"Nieuwpoort";3,6;6,3;4,8;6,3;6,4;7,2;4,7;4,9;5,0;6,6;6,1
"Nijlen";0,8;0,9;1,3;2,0;2,0;3,0;1,9;1,1;2,5;2,6;2,6
